MD,TVD,ROP,WOB,HookLoad,Surf RPM,Downhole RPM,Torque,Pump_Pr1,Pump_Pr2,Flow_In,Flow_Line,Mud_Wt_In,Mud_Wt_Out,ECD,Total_Gas,Temp_In,Temp_Out,Bit_Time_Drill,CO2,H2S
         m,         m,      m/h,   klbm,   klbm,     1/min,     1/min,   klbf.ft,   psia,   psia,  L/min,      %,     g/cm3,     g/cm3,     g/cm3,       %,      degC,      degC,         h,       %,       ppm
106.5,106.5,350,3,78,50,88,1.18,1110,1110,2753,0,1.03,1.03,1.05,0,27.6,28,0.01,0,0
107,107,356,2,79,50,88,0.4,1104,1104,2753,0,1.03,1.03,1.05,0,27.7,27.9,0.02,0,0
107.5,107.5,439,2,77,50,88,0.2,1082,1082,2745,0,1.03,1.03,1.05,0,27.6,28,0.04,0,0
108,108,474,2,79,50,88,1.59,1100,1100,2753,0,1.03,1.03,1.05,0,27.7,28,0.05,0,0
108.5,108.5,455,2,80,50,88,0.91,1100,1100,2752,0,1.03,1.03,1.05,0,27.6,28,0.06,0,0
109,109,378,4,79,50,88,2.26,1107,1107,2751,0,1.03,1.03,1.05,0,27.6,28,0.07,0,0
109.5,109.5,308,2,80,50,88,1.13,1124,1124,2753,0,1.03,1.03,1.05,0,27.6,28,0.09,0,0
110,110,360,3,80,50,88,0.34,1125,1125,2753,0,1.03,1.03,1.05,0,27.6,28,0.1,0,0
110.5,110.5,452,3,81,50,88,1.26,1104,1104,2752,0,1.03,1.03,1.05,0,27.7,27.9,0.11,0,0
111,111,485,3,78,50,88,0.8,1115,1115,2753,0,1.03,1.03,1.05,0,27.6,27.9,0.12,0,0
111.5,111.5,454,3,78,50,88,0.99,1090,1090,2752,0,1.03,1.03,1.05,0,27.6,28,0.14,0,0
112,112,386,5,82,50,88,1.71,1092,1092,2752,0,1.03,1.03,1.05,0,27.6,27.9,0.15,0,0
112.5,112.5,337,3,78,50,88,1.2,1138,1138,2752,0,1.03,1.03,1.05,0,27.7,28,0.16,0,0
113,113,359,1,76,50,88,0.23,1138,1138,2751,0,1.03,1.03,1.05,0,27.6,28,0.17,0,0
113.5,113.5,377,2,77,50,88,1.35,1118,1118,2753,0,1.03,1.03,1.05,0,27.6,28,0.19,0,0
114,114,94,2,77,50,88,1.61,1140,1140,2745,0,1.03,1.03,1.05,0,27.6,28,0.2,0,0
114.5,114.5,118,3,79,50,88,2.45,1176,1176,2751,0,1.03,1.03,1.05,0,27.7,28,0.2,0,0
115,115,245,4,83,50,88,1.53,1192,1192,2751,0,1.03,1.03,1.05,0,27.7,28,0.2,0,0
115.5,115.5,301,4,81,70,88,2.48,1180,1180,2742,0,1.03,1.03,1.05,0,27.7,28,0.2,0,0
116,116,371,4,80,70,88,1,1187,1187,2752,0,1.03,1.03,1.05,0,27.7,28,0.21,0,0
116.5,116.5,435,4,82,70,88,1.9,1211,1211,2751,0,1.03,1.03,1.05,0,27.7,28,0.21,0,0
117,117,465,4,79,70,88,1.11,1205,1205,2752,0,1.03,1.03,1.05,0,27.7,28,0.21,0,0
117.5,117.5,454,5,79,70,88,1.69,1210,1210,2741,0,1.03,1.03,1.05,0,27.7,27.9,0.21,0,0
118,118,416,9,79,70,88,2.84,1227,1227,2751,0,1.03,1.03,1.05,0,27.7,27.9,0.21,0,0
118.5,118.5,382,7,77,70,88,1.48,1226,1226,2758,0,1.03,1.03,1.05,0,27.7,28,0.21,0,0
119,119,376,6,78,70,88,3.53,1233,1233,2744,0,1.03,1.03,1.05,0,27.7,28,0.21,0,0
119.5,119.5,386,7,76,80,88,3.36,1242,1242,2759,0,1.03,1.03,1.05,0,27.7,28,0.21,0,0
120,120,399,7,76,80,88,1.85,1227,1227,2751,0,1.03,1.03,1.05,0,27.7,28,0.22,0,0
120.5,120.5,415,6,80,80,88,2.23,1261,1261,2752,0,1.03,1.03,1.05,0,27.7,28,0.22,0,0
121,121,434,6,77,80,88,1.44,1266,1266,2760,0,1.03,1.03,1.05,0,27.7,28,0.22,0,0
121.5,121.5,430,7,77,80,88,2.29,1235,1235,2751,0,1.03,1.03,1.05,0,27.7,28,0.22,0,0
122,122,381,8,77,80,88,1.57,1253,1253,2751,0,1.03,1.03,1.05,0,27.7,28,0.22,0,0
122.5,122.5,286,7,76,80,88,1.72,1232,1232,2753,0,1.03,1.03,1.05,0,27.7,28,0.22,0,0
123,123,227,7,82,80,88,0.89,1227,1227,2753,0,1.03,1.03,1.05,0,27.8,28,0.22,0,0
123.5,123.5,277,6,80,80,88,1.76,1194,1194,2753,0,1.03,1.03,1.05,0,27.7,28,0.23,0,0
124,124,360,7,79,80,88,2.23,1227,1227,2753,0,1.03,1.03,1.05,0,27.7,28,0.23,0,0
